archivo,contraste,correlacion,energia,homogeneidad,dissimilaridad,asm,entropia,varianza
image-193.bmp,118.69178692434507,0.9889623158721125,0.025474322043945796,0.20429356868175552,7.098117144628773,0.0006489410835986627,7.837689760221646,9.669224464968301e-09
image-194.bmp,98.94775536636001,0.9907083463342852,0.041832105891680044,0.26280977447861903,6.402520914148821,0.0017499250833327325,7.073211427834292,2.6468907078098033e-08
image-195.bmp,105.90504246318203,0.9900695624026477,0.04797380622162289,0.27700041037856415,6.655331864634192,0.0023014860833898225,6.6349531306983245,3.488506003307071e-08
image-196.bmp,96.22459457343179,0.9910415501342417,0.04162472258534766,0.2839138800316292,6.122052284842982,0.0017326175303071516,6.708012722803821,2.6204814777292664e-08
image-197.bmp,73.74044657765589,0.9931641201648137,0.02859792137890158,0.22947490758582917,5.624821438774927,0.0008178411071938359,7.475585013046885,1.2246434297658322e-08
image-198.bmp,78.04372448558497,0.992743231438788,0.031274249099627845,0.25729462023954347,5.64797990379386,0.0009780786567455731,7.384431747881192,1.4691465266160167e-08
image-199.bmp,88.30662163220303,0.9917765909814641,0.030812437819356837,0.24785488899861596,5.904274253111462,0.0009494063243717316,7.522103255158952,1.4253960194537839e-08
image-2.bmp,133.93253507206995,0.987212634254534,0.05066413692522965,0.2641542029278838,7.398212165654026,0.0025668547703784185,6.667204861374524,3.8934264851622285e-08
image-20.bmp,131.10990906339742,0.987634718002746,0.033592193570346755,0.20727954159029285,7.637946614690801,0.0011284354688676458,7.444533117687099,1.6985728146440826e-08
image-200.bmp,55.964675034442465,0.9947747090620782,0.03648450483543355,0.2870182806988617,4.785436599390087,0.001331119093086774,7.178011852568767,2.0078434814823516e-08
image-201.bmp,65.85235764305531,0.9938450729965261,0.03895536043870519,0.27357301009702006,5.252582392117276,0.0015175201069094373,7.069975142646876,2.2922688565779686e-08
image-202.bmp,95.39763018832785,0.9910777454267835,0.04137447471048076,0.26079006221745044,6.309315658152867,0.0017118471575682118,6.851005647567119,2.5887884040919675e-08
image-203.bmp,123.30399109468875,0.9884545004189921,0.04629606757810706,0.2620278008360098,7.126989568850035,0.0021433258731966554,6.659816762389352,3.247172674765252e-08
image-204.bmp,65.12851117502281,0.993922142518528,0.03521990465711891,0.28063443503878777,5.245139431185942,0.0012404416840565463,7.1735168401282055,1.869480735769724e-08
image-205.bmp,85.07355558518348,0.9920487174225391,0.032040635993746756,0.23881355333939397,6.036209571093292,0.0010266023548837803,7.413903062764153,1.5431878140583507e-08
image-206.bmp,141.33921236246815,0.9868448592859188,0.023469276260270778,0.1802284774303959,7.9221843407889905,0.0005508069281809094,8.034094680241543,8.17181608762222e-09
image-207.bmp,119.99544364660642,0.9887260470326493,0.049546398155384815,0.29587941618103053,7.078882264928777,0.0024548455701719194,6.442580516491146,3.722514009261199e-08
image-208.bmp,144.85084661828847,0.9865535608073597,0.02690718385464679,0.19801836531314115,7.843204726925657,0.0007239965429877649,7.758540756112206,1.0814479887775648e-08
image-209.bmp,55.360991012153804,0.9948747593436817,0.03198934040409432,0.2800792453851468,4.700872119476771,0.0010233178994890212,7.33616224177681,1.5381761328529684e-08
image-21.bmp,645.8797148099475,0.9401764966639277,0.015182125931512932,0.09228213839909917,18.121317935271428,0.00023049694780031743,8.69563848304735,3.284273662381246e-09
image-210.bmp,165.07452907452907,0.9847277729488807,0.02619156132764582,0.19783523773046524,8.102597311899638,0.000685997884779832,7.788505553887468,1.0234666377522768e-08
image-211.bmp,250.84910915143476,0.9764079238438578,0.034822019152341135,0.19410094132798628,10.450892753218335,0.001212573017846013,7.15334523164681,1.826956525853749e-08
image-212.bmp,112.38778313196919,0.9895152789769951,0.03637833337230657,0.2318663318443609,7.0247668387203275,0.0013233831389466743,6.986681167318601,1.9960393522402565e-08
image-213.bmp,92.98687270780295,0.9912967678100999,0.03457130498390407,0.26317509338844153,6.098402842588889,0.0011951751282901107,7.2442049210137505,1.8004094531671302e-08
image-214.bmp,78.48650764929833,0.9926917424833361,0.03439558067947707,0.2647824584623343,5.7261574470876795,0.001183055970278416,7.159234192591399,1.781917085595574e-08
image-215.bmp,83.59012712501084,0.9921864703491902,0.03937875811163115,0.2563687565601751,6.085726318284458,0.0015506865904143558,6.85660277873913,2.342876894152612e-08
image-216.bmp,220.61945666596827,0.97939897028765,0.037395212054950465,0.22186818155526836,9.259348143069072,0.0013984018846347128,6.987184217837006,2.1105088738589672e-08
image-217.bmp,83.64216859565697,0.992219264422879,0.030808468694032136,0.22630370087252402,6.0645656227051585,0.0009491617432711582,7.3703615495278,1.4250228183115512e-08
image-218.bmp,266.4236858422905,0.975142984508362,0.036667065316107805,0.2182708409528333,10.284730819614543,0.0013444736788957158,7.016297909873337,2.0282209622699216e-08
image-219.bmp,101.43820988007035,0.9905717641225708,0.020625952667492186,0.2020336262162233,6.694798392472811,0.000425429923441628,8.09485433855309,6.2587148190174564e-09
image-22.bmp,104.05342128597944,0.9902966146912416,0.028212703678567083,0.2155270652322019,6.508976206650625,0.0007959566488546327,7.655308283348313,1.1912503964113353e-08
image-220.bmp,113.35602410021016,0.9894925478158858,0.019915713500991753,0.17296102831048482,7.329231980394772,0.0003966356442535852,8.213165941175092,5.819348986680377e-09
image-221.bmp,106.15337747895889,0.9900939714282057,0.023053973961678274,0.18855586233094368,7.12679910354329,0.0005314857154257399,7.939390121634645,7.876997777759397e-09
image-222.bmp,87.72625267974105,0.9918888354384574,0.021259054437398506,0.18932845371781132,6.555771416236532,0.00045194739557227314,8.083160816531233,6.663339332729694e-09
image-223.bmp,142.1418458627761,0.9866877916435887,0.023757005079698267,0.17908479843540281,8.121195190962633,0.0005643952903568092,7.929204053003031,8.379158039769121e-09
image-224.bmp,172.00887356701313,0.9840832893453031,0.019518474859515977,0.14812181715821185,9.17718775858311,0.0003809708608415572,8.28706620404072,5.580323360886491e-09
image-225.bmp,103.11918684011708,0.9903806669046642,0.02370501517573343,0.2132934562742047,6.918118964630592,0.0005619277444817523,7.798875220657384,8.341506277759588e-09
image-226.bmp,236.77070516605397,0.9780462512177976,0.01791721717336276,0.1261902746944748,10.87761969157318,0.0003210266712374454,8.42292135213952,4.665647616194846e-09
image-227.bmp,105.53118446141703,0.9901758367498793,0.02315292084152245,0.19659536483670917,7.071968374293957,0.0005360577434938045,7.850189019437272,7.946761389637822e-09
